Algorithm,Function,Dimension,Min,Max,Mean,Median,StdDev,MaxTemp,MinTemp,CoolingDecr,NumIterations,,,,,,,,,,,,,,,
Random Search,DeJong1,5,0.285187148,2.694235165,1.120324623,1.052925336,0.57334587,,,,,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.048967624,0.218757806,0.122431856,0.121461968,0.042192157,1000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.028274857,0.134596829,0.080573088,0.083220194,0.027542089,1000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.368739077,4.102803111,1.433605067,1.054574648,0.953066611,1000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.043415021,0.295759908,0.15867831,0.164258036,0.053771609,1000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.022325067,0.138012077,0.079159274,0.079718065,0.031971524,1000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.604306513,2.794395711,1.285106225,1.189202627,0.51485589,1000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.064440906,0.311490071,0.153495059,0.151054034,0.062684325,1000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.00673077,0.154431959,0.072007509,0.069745799,0.037802358,1000,0.1,0.98,20,,,,,Simulated Annealing,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.158843842,3.236711876,1.760402482,1.874531784,0.914528176,1000,0.1,0.99,50,,,,,Function,Dimension,Min,Max,Mean,Median,StdDev,MaxTemp,MinTemp,CoolingDecr,NumIterations
Simulated Annealing,DeJong1,5,0.072397913,0.331025513,0.167965023,0.170755249,0.064396464,5000,0.1,0.95,10,,,,,DeJong1,5,0.00673077,0.154431959,0.072007509,0.069745799,0.037802358,1000,0.1,0.98,20
Simulated Annealing,DeJong1,5,0.031023435,0.21453167,0.100828144,0.093880718,0.041414991,5000,0.1,0.98,20,,,,,DeJong1,10,0.207284916,1.014384252,0.575808289,0.525261399,0.199888058,1000,0.01,0.98,20
Simulated Annealing,DeJong1,5,0.318941065,4.634154278,1.804986626,1.434754774,0.95398339,5000,0.1,0.99,50,,,,,DeJong2,5,0.980025462,14.35833797,5.303498773,5.11405831,2.519666855,5000,0.01,0.98,20
Simulated Annealing,DeJong1,5,0.012694212,0.317774816,0.126167441,0.11613913,0.06207623,5000,0.01,0.95,10,,,,,DeJong2,10,17.57391146,123.5698899,63.63783977,62.29097224,20.5350783,5000,0.01,0.98,30
Simulated Annealing,DeJong1,5,0.013041348,0.209180295,0.112877503,0.111688112,0.051473229,5000,0.01,0.98,20,,,,,Schwefel,5,41.27783876,787.710217,454.867171,493.0910807,161.688006,10000,0.05,0.98,20
Simulated Annealing,DeJong1,5,0.249858404,2.872883743,1.403433021,1.208638286,0.704140112,5000,0.01,0.99,50,,,,,Schwefel,10,561.6281963,2209.79029,1644.070382,1679.151994,358.1331931,1000,0.01,0.98,20
Simulated Annealing,DeJong1,5,0.031462821,0.236273357,0.141527698,0.14599045,0.047455846,5000,0.05,0.95,10,,,,,Random Search,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.02205637,0.167253256,0.090178818,0.088251871,0.038718518,5000,0.05,0.98,20,,,,,Function,Dimension,Min,Max,Mean,Median,StdDev,,,,
Simulated Annealing,DeJong1,5,0.332174258,2.944519701,1.460047438,1.322011193,0.722404268,5000,0.05,0.99,50,,,,,DeJong1,5,0.285187148,2.694235165,1.120324623,1.052925336,0.57334587,,,,
Simulated Annealing,DeJong1,5,0.076166209,0.876455275,0.380329379,0.394047165,0.202671252,10000,1,0.95,10,,,,,DeJong1,10,3.048112545,17.05943867,11.81892612,11.8830257,3.575846074,,,,
Simulated Annealing,DeJong1,5,0.053959771,0.337979562,0.201438747,0.22261782,0.079708316,10000,1,0.98,20,,,,,DeJong2,5,30.53546742,179.3617093,87.09840828,59.9957372,45.61876699,,,,
Simulated Annealing,DeJong1,5,0.440443498,3.577343027,1.52602496,1.498448702,0.653354392,10000,1,0.99,50,,,,,DeJong2,10,1348.137023,6391.230534,3207.447054,3037.145095,1277.532281,,,,
Simulated Annealing,DeJong1,5,0.020904947,0.276973821,0.13049887,0.122030566,0.055911669,10000,0.01,0.95,10,,,,,Schwefel,5,208.5907433,605.5733043,467.9293251,473.1395329,88.98765063,,,,
Simulated Annealing,DeJong1,5,0.024130693,0.225284507,0.104789041,0.097656124,0.050937562,10000,0.01,0.98,20,,,,,Schwefel,10,1483.669713,2073.918924,1847.612387,1850.186086,141.1882872,,,,
Simulated Annealing,DeJong1,5,0.183715169,2.565904111,1.236909372,1.104610377,0.681007183,10000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.035118411,0.313681096,0.168691928,0.172193516,0.06606667,10000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.05495707,0.199238143,0.128211628,0.129631475,0.041440337,10000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.368523228,3.202971503,1.536767988,1.328049057,0.803047749,10000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.090979942,1.822295646,0.716654418,0.68714241,0.336810446,5000,0.01,0.98,30,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.024282163,0.170168995,0.094299996,0.098841624,0.040531097,3666.666667,0.03,0.976666667,25,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,5,0.015351215,0.137106047,0.076090536,0.070384213,0.031931959,2944.444445,0.043333333,0.971111111,23,,,,,,,,,,,,,,,
